9.4892 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [1366, 768]. Using actual size
11.6681 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000134465532E0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000013446553280>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000134465530D0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000134466B8CA0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1366,  768]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.6682 	EXP 	window1: mouseVisible = True
11.6682 	EXP 	window1: backgroundImage = ''
11.6683 	EXP 	window1: backgroundFit = 'none'
11.6715 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
11.6715 	EXP 	window1: recordFrameIntervals = False
11.8342 	EXP 	window1: recordFrameIntervals = True
12.0176 	EXP 	Screen (0) actual frame rate measured at 59.99Hz
12.0177 	EXP 	window1: recordFrameIntervals = False
12.0178 	EXP 	window1: mouseVisible = False
14.8709 	EXP 	glasgow_face_matching: status = STARTED
14.8718 	EXP 	window1: mouseVisible = True
15.0077 	EXP 	Created background = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.55, 1.  ]), texRes=128.0, units='height', win=Window(...))
15.0080 	EXP 	window1: mouseVisible = True
15.0082 	EXP 	window1: mouseVisible = True
15.0088 	EXP 	window1: mouseVisible = True
15.0092 	EXP 	window1: mouseVisible = True
15.0796 	EXP 	window1: mouseVisible = True
15.0798 	EXP 	window1: mouseVisible = True
15.0802 	EXP 	window1: mouseVisible = True
15.0807 	EXP 	window1: mouseVisible = True
15.0979 	EXP 	window1: mouseVisible = True
15.2161 	EXP 	Created background_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.55, 1.  ]), texRes=128.0, units='height', win=Window(...))
15.2162 	EXP 	window1: mouseVisible = True
15.2352 	EXP 	Created faces = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='faces', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.1, 0.8]), texRes=128, units='height', win=Window(...))
15.2354 	EXP 	window1: mouseVisible = True
15.2356 	EXP 	window1: mouseVisible = True
15.2361 	EXP 	window1: mouseVisible = True
15.2366 	EXP 	window1: mouseVisible = True
15.2511 	EXP 	window1: mouseVisible = True
15.2513 	EXP 	window1: mouseVisible = True
15.2518 	EXP 	window1: mouseVisible = True
15.2524 	EXP 	window1: mouseVisible = True
15.2678 	EXP 	window1: mouseVisible = True
15.2680 	EXP 	window1: mouseVisible = True
15.2685 	EXP 	window1: mouseVisible = True
15.2689 	EXP 	window1: mouseVisible = True
15.3000 	EXP 	window1: mouseVisible = True
15.3002 	EXP 	window1: mouseVisible = True
15.3007 	EXP 	window1: mouseVisible = True
15.3012 	EXP 	window1: mouseVisible = True
15.3151 	EXP 	window1: mouseVisible = True
15.4568 	EXP 	Created background_3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background_3', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.55, 1.  ]), texRes=128.0, units='height', win=Window(...))
15.4570 	EXP 	window1: mouseVisible = True
15.4572 	EXP 	window1: mouseVisible = True
15.4577 	EXP 	window1: mouseVisible = True
15.4582 	EXP 	window1: mouseVisible = True
15.4726 	EXP 	window1: mouseVisible = True
15.4728 	EXP 	window1: mouseVisible = True
15.4735 	EXP 	window1: mouseVisible = True
15.4740 	EXP 	window1: mouseVisible = True
15.4880 	EXP 	window1: mouseVisible = True
15.4881 	EXP 	window1: mouseVisible = True
15.4886 	EXP 	window1: mouseVisible = True
15.4890 	EXP 	window1: mouseVisible = True
15.5050 	EXP 	window1: mouseVisible = True
15.5051 	EXP 	window1: mouseVisible = True
15.5056 	EXP 	window1: mouseVisible = True
15.5061 	EXP 	window1: mouseVisible = True
15.5207 	EXP 	window1: mouseVisible = True
15.5208 	EXP 	window1: mouseVisible = True
15.5214 	EXP 	window1: mouseVisible = True
15.5219 	EXP 	window1: mouseVisible = True
15.5361 	EXP 	window1: mouseVisible = True
15.5363 	EXP 	window1: mouseVisible = True
15.5368 	EXP 	window1: mouseVisible = True
15.5373 	EXP 	window1: mouseVisible = True
15.5512 	EXP 	window1: mouseVisible = True
15.6678 	EXP 	Created background_4 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background_4', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.55, 1.  ]), texRes=128.0, units='height', win=Window(...))
15.6681 	EXP 	window1: mouseVisible = True
15.6682 	EXP 	window1: mouseVisible = True
15.6706 	EXP 	window1: mouseVisible = True
15.6711 	EXP 	window1: mouseVisible = True
15.6852 	EXP 	window1: mouseVisible = True
15.6853 	EXP 	window1: mouseVisible = True
15.6858 	EXP 	window1: mouseVisible = True
15.6862 	EXP 	window1: mouseVisible = True
0.0125 	EXP 	instructionstxt: autoLog = True
0.0125 	EXP 	trial_counter: autoLog = True
0.0125 	EXP 	reminder: autoLog = True
0.0125 	EXP 	textbox: autoLog = True
0.0125 	EXP 	reminder_2: autoLog = True
0.0125 	EXP 	trial_counter_2: autoLog = True
0.0125 	EXP 	endmsg: autoLog = True
0.0595 	EXP 	background: autoDraw = True
0.0595 	EXP 	instructionstxt: autoDraw = True
17.9104 	EXP 	Imported conditions_short.xlsx as conditions, 12 conditions, 3 params
17.9145 	EXP 	Created sequence: random, trialTypes=12, nReps=1, seed=None
17.9149 	EXP 	New trial (rep=0, index=0): {'imageFile': 'same/303_DV_C2.jpg', 'corrAns': 'left', 'sameOrDiff': 'same'}
17.9660 	EXP 	background: autoDraw = False
17.9660 	EXP 	instructionstxt: autoDraw = False
17.9660 	EXP 	faces: image = 'same/303_DV_C2.jpg'
17.9660 	EXP 	background_2: autoDraw = True
17.9660 	EXP 	faces: autoDraw = True
17.9660 	EXP 	trial_counter: autoDraw = True
17.9660 	EXP 	reminder: autoDraw = True
22.6927 	EXP 	background_2: autoDraw = False
22.6927 	EXP 	faces: autoDraw = False
22.6927 	EXP 	trial_counter: autoDraw = False
22.6927 	EXP 	reminder: autoDraw = False
22.6927 	EXP 	textbox: foreColor = <psychopy.colors.Color: green, alpha=1.0>
22.6927 	EXP 	background_3: autoDraw = True
22.6927 	EXP 	textbox: autoDraw = True
22.6927 	EXP 	reminder_2: autoDraw = True
22.6927 	EXP 	trial_counter_2: autoDraw = True
23.6860 	EXP 	New trial (rep=0, index=1): {'imageFile': 'different/013_235_R.jpg', 'corrAns': 'right', 'sameOrDiff': 'different'}
23.7123 	EXP 	background_3: autoDraw = False
23.7123 	EXP 	textbox: autoDraw = False
23.7123 	EXP 	reminder_2: autoDraw = False
23.7123 	EXP 	trial_counter_2: autoDraw = False
23.7123 	EXP 	faces: image = 'different/013_235_R.jpg'
23.7123 	EXP 	background_2: autoDraw = True
23.7123 	EXP 	faces: autoDraw = True
23.7123 	EXP 	trial_counter: autoDraw = True
23.7123 	EXP 	reminder: autoDraw = True
25.3364 	EXP 	background_2: autoDraw = False
25.3364 	EXP 	faces: autoDraw = False
25.3364 	EXP 	trial_counter: autoDraw = False
25.3364 	EXP 	reminder: autoDraw = False
25.3364 	EXP 	textbox: foreColor = <psychopy.colors.Color: red, alpha=1.0>
25.3364 	EXP 	background_3: autoDraw = True
25.3364 	EXP 	textbox: autoDraw = True
25.3364 	EXP 	reminder_2: autoDraw = True
25.3364 	EXP 	trial_counter_2: autoDraw = True
26.3199 	EXP 	New trial (rep=0, index=2): {'imageFile': 'same/235_C2_DV.jpg', 'corrAns': 'left', 'sameOrDiff': 'same'}
26.3597 	EXP 	background_3: autoDraw = False
26.3597 	EXP 	textbox: autoDraw = False
26.3597 	EXP 	reminder_2: autoDraw = False
26.3597 	EXP 	trial_counter_2: autoDraw = False
26.3597 	EXP 	background_3: autoDraw = False
26.3597 	EXP 	textbox: autoDraw = False
26.3597 	EXP 	reminder_2: autoDraw = False
26.3597 	EXP 	trial_counter_2: autoDraw = False
26.3597 	EXP 	faces: image = 'same/235_C2_DV.jpg'
26.3597 	EXP 	background_2: autoDraw = True
26.3597 	EXP 	faces: autoDraw = True
26.3597 	EXP 	trial_counter: autoDraw = True
26.3597 	EXP 	reminder: autoDraw = True
30.9186 	EXP 	background_2: autoDraw = False
30.9186 	EXP 	faces: autoDraw = False
30.9186 	EXP 	trial_counter: autoDraw = False
30.9186 	EXP 	reminder: autoDraw = False
30.9186 	EXP 	textbox: foreColor = <psychopy.colors.Color: green, alpha=1.0>
30.9186 	EXP 	background_3: autoDraw = True
30.9186 	EXP 	textbox: autoDraw = True
30.9186 	EXP 	reminder_2: autoDraw = True
30.9186 	EXP 	trial_counter_2: autoDraw = True
31.9029 	EXP 	New trial (rep=0, index=3): {'imageFile': 'same/136_C2_DV.jpg', 'corrAns': 'left', 'sameOrDiff': 'same'}
