13.5222 	EXP 	window1: mouseVisible = True
13.5224 	EXP 	window1: mouseVisible = True
13.5229 	EXP 	window1: mouseVisible = True
13.5233 	EXP 	window1: mouseVisible = True
0.0139 	EXP 	instructionstxt: autoLog = True
0.0139 	EXP 	trial_counter: autoLog = True
0.0139 	EXP 	reminder: autoLog = True
0.0139 	EXP 	textbox: autoLog = True
0.0139 	EXP 	reminder_2: autoLog = True
0.0139 	EXP 	trial_counter_2: autoLog = True
0.0139 	EXP 	endmsg: autoLog = True
0.0592 	EXP 	background: autoDraw = True
0.0592 	EXP 	instructionstxt: autoDraw = True
2.3250 	EXP 	Imported conditions_short.xlsx as conditions, 12 conditions, 3 params
2.3255 	EXP 	Created sequence: random, trialTypes=12, nReps=1, seed=None
2.3257 	EXP 	New trial (rep=0, index=0): {'imageFile': 'same/170_DV_C2.jpg', 'corrAns': 'left', 'sameOrDiff': 'same'}
2.3774 	EXP 	background: autoDraw = False
2.3774 	EXP 	instructionstxt: autoDraw = False
2.3774 	EXP 	faces: image = 'same/170_DV_C2.jpg'
2.3774 	EXP 	background_2: autoDraw = True
2.3774 	EXP 	faces: autoDraw = True
2.3774 	EXP 	trial_counter: autoDraw = True
2.3774 	EXP 	reminder: autoDraw = True
5.0687 	EXP 	background_2: autoDraw = False
5.0687 	EXP 	faces: autoDraw = False
5.0687 	EXP 	trial_counter: autoDraw = False
5.0687 	EXP 	reminder: autoDraw = False
5.0687 	EXP 	textbox: foreColor = <psychopy.colors.Color: green, alpha=1.0>
5.0687 	EXP 	background_3: autoDraw = True
5.0687 	EXP 	textbox: autoDraw = True
5.0687 	EXP 	reminder_2: autoDraw = True
5.0687 	EXP 	trial_counter_2: autoDraw = True
6.0629 	EXP 	New trial (rep=0, index=1): {'imageFile': 'different/049_218_L.jpg', 'corrAns': 'right', 'sameOrDiff': 'different'}
6.0849 	EXP 	background_3: autoDraw = False
6.0849 	EXP 	textbox: autoDraw = False
6.0849 	EXP 	reminder_2: autoDraw = False
6.0849 	EXP 	trial_counter_2: autoDraw = False
6.0849 	EXP 	faces: image = 'different/049_218_L.jpg'
6.0849 	EXP 	background_2: autoDraw = True
6.0849 	EXP 	faces: autoDraw = True
6.0849 	EXP 	trial_counter: autoDraw = True
6.0849 	EXP 	reminder: autoDraw = True
6.9130 	EXP 	background_2: autoDraw = False
6.9130 	EXP 	faces: autoDraw = False
6.9130 	EXP 	trial_counter: autoDraw = False
6.9130 	EXP 	reminder: autoDraw = False
6.9130 	EXP 	textbox: foreColor = <psychopy.colors.Color: green, alpha=1.0>
6.9130 	EXP 	background_3: autoDraw = True
6.9130 	EXP 	textbox: autoDraw = True
6.9130 	EXP 	reminder_2: autoDraw = True
6.9130 	EXP 	trial_counter_2: autoDraw = True
7.8970 	EXP 	New trial (rep=0, index=2): {'imageFile': 'same/235_C2_DV.jpg', 'corrAns': 'left', 'sameOrDiff': 'same'}
7.9249 	EXP 	background_3: autoDraw = False
7.9249 	EXP 	textbox: autoDraw = False
7.9249 	EXP 	reminder_2: autoDraw = False
7.9249 	EXP 	trial_counter_2: autoDraw = False
7.9249 	EXP 	background_3: autoDraw = False
7.9249 	EXP 	textbox: autoDraw = False
7.9249 	EXP 	reminder_2: autoDraw = False
7.9249 	EXP 	trial_counter_2: autoDraw = False
7.9249 	EXP 	faces: image = 'same/235_C2_DV.jpg'
